ID,Timepoint,Date,Plot,Treatment,Depth,MidDepth,ExOC,MBC,GWC,VWC,ExTN,MBN
168,1.5,20150602,2,H,50-60,55,0.327380952,0,0.128627139,0.195976309,NA,NA
171,1.5,20150602,2,H,80-90,85,0.497076023,0.016511428,0.083843443,0.147111705,NA,NA
174,1.5,20150602,3,C,0-10,5,0.028735632,0.488591263,0.400196158,0.295584882,NA,NA
175,1.5,20150602,3,C,10-20,15,0.085714286,0,0.239260693,0.223852304,NA,NA
177,1.5,20150602,3,C,30-40,35,0.197740113,0.036467421,0.206282723,0.261896545,NA,NA
179,1.5,20150602,3,C,50-60,55,0.30726257,0,0.171049045,0.260610324,NA,NA
182,1.5,20150602,3,C,80-90,85,0.467032967,0,0.143160834,0.25119,NA,NA
185,1.5,20150602,3,H,0-10,5,0.027027027,0.548355581,0.191982065,0.141797953,NA,NA
186,1.5,20150602,3,H,10-20,15,0.080645161,0,0.172602622,0.161487013,NA,NA
188,1.5,20150602,3,H,30-40,35,0.186170213,0,0.177340788,0.225151864,NA,NA
190,1.5,20150602,3,H,50-60,55,0.289473684,NA,0.155491977,0.236907576,NA,NA
193,1.5,20150602,3,H,80-90,85,0.440414508,NA,0.172573082,0.30279673,NA,NA
196,2.5,20160516,1,C,0-10,5,0.431236401,2.591858299,0.793595545,0.586149669,NA,NA
197,2.5,20160516,1,C,10-20,15,0.071882297,0.611458614,0.354217464,0.331405859,NA,NA
199,2.5,20160516,1,C,30-40,35,0.067985752,0.225155832,0.249051601,0.316195913,NA,NA
201,2.5,20160516,1,C,50-60,55,0.056060557,0.02584195,0.189065946,0.288060875,NA,NA
204,2.5,20160516,1,C,80-90,85,0.037553562,0.129344508,0.192078377,0.33702072,NA,NA
207,2.5,20160516,1,H,0-20,10,0.052653113,0.551583704,0.41931053,0.352053121,NA,NA
210,2.5,20160516,1,H,30-40,35,0.026914777,0.034652775,0.216573568,0.274961802,NA,NA
212,2.5,20160516,1,H,50-60,55,3.670198,2.570514424,0.584621443,0.890729231,NA,NA
215,2.5,20160516,1,H,80-90,85,0.139177496,0.35213308,0.161694408,0.283709009,NA,NA
218,2.5,20160516,2,C,0-20,10,0.052556985,0.69028306,0.398864183,0.334886368,NA,NA
221,2.5,20160516,2,C,30-40,35,0.028103116,0.162241305,0.269794692,0.342531341,NA,NA
223,2.5,20160516,2,C,50-60,55,0.045003598,0.082389288,0.191081336,0.291131524,NA,NA
226,2.5,20160516,2,C,80-90,85,0.043956625,0.080852035,0.170973749,0.29999054,NA,NA
229,2.5,20160516,2,H,0-10,5,0.079083615,1.088263153,0.31333084,0.231426159,NA,NA
230,2.5,20160516,2,H,10-20,15,0.045708067,0.329057065,0.206943577,0.193616411,NA,NA
232,2.5,20160516,2,H,30-40,35,0.046833156,0.215286757,0.205163919,0.260476112,NA,NA
234,2.5,20160516,2,H,50-60,55,0.056210207,0.057044768,0.159149856,0.24248072,NA,NA
237,2.5,20160516,2,H,80-90,85,0.016368159,0.009092683,0.139399636,0.244590601,NA,NA
240,2.5,20160516,3,C,0-10,5,0.174140469,0.389206958,0.493911815,0.364803267,NA,NA
241,2.5,20160516,3,C,10-20,15,0.089806944,0.071136618,0.275917814,0.258148707,NA,NA
243,2.5,20160516,3,C,30-40,35,0.034119483,0.12851008,0.219696117,0.27892619,NA,NA
245,2.5,20160516,3,C,50-60,55,0.023039098,0.036054318,0.176097411,0.268302016,NA,NA
248,2.5,20160516,3,C,80-90,85,0.027056038,0.013289812,0.16624867,0.291699916,NA,NA
251,2.5,20160516,3,H,0-10,5,0.17336926,0.490940443,0.231728263,0.171154495,NA,NA
252,2.5,20160516,3,H,10-20,15,0.067518196,0.332569467,0.168732527,0.157866152,NA,NA
254,2.5,20160516,3,H,30-40,35,0.037510195,0.06976869,0.164816617,0.209251177,NA,NA
256,2.5,20160516,3,H,50-60,55,0.070692592,0,0.168767362,0.257133952,NA,NA
259,2.5,20160516,3,H,80-90,85,0.027586288,0.015467928,0.161638232,0.283610442,NA,NA
,4.5,20180404,1,C,0-10,5,0.040436292,0.302331016,0.334128878,,0.00219605,0.028816982
,4.5,20180404,1,C,10-20,15,0.044514265,0.188249496,0.261792453,,0.002693881,0.01914412
,4.5,20180404,1,C,30-40,35,0.030846001,0.097692829,0.250292398,,0.002077925,0.008359833
,4.5,20180404,1,C,50-60,55,0.029897121,0.169984709,0.229027963,,0.001901212,0.016261636
,4.5,20180404,1,C,80-90,85,0.038881137,0.035832241,0.199074074,,0.002082918,0.003420066
,4.5,20180404,1,H,0-10,5,0.024798529,0.285753763,0.265567766,,0.002337169,0.041051671
,4.5,20180404,1,H,10-20,10,0.015582321,0.164985215,0.224938875,,0.001187648,0.01780513
,4.5,20180404,1,H,30-40,35,0.007765472,0.023218423,0.168808912,,0.000839121,0.003498798
,4.5,20180404,1,H,50-60,55,0.020547223,0.168905494,0.165413534,,0.00078925,0.015697327
,4.5,20180404,1,H,80-90,85,0.013587716,NA,0.139130435,,0.001061267,NA
,4.5,20180404,2,C,0-10,5,0.009835331,0.445216299,0.350649351,,0.001086562,0.050707346
,4.5,20180404,2,C,10-20,10,0.018611563,0.271963593,0.326666667,,0.001206995,0.030407517
,4.5,20180404,2,C,30-40,35,0.008550888,0.178731175,0.273356401,,0.000906161,0.018755324
,4.5,20180404,2,C,50-60,55,0.018106763,0.063066461,0.220108696,,0.00122123,0.010215773
,4.5,20180404,2,C,80-90,85,0.346861024,NA,0.238866397,,0.00213629,NA
,4.5,20180404,2,H,0-10,5,0.014859649,0.476848887,0.273356401,,0.002105237,0.057502635
,4.5,20180404,2,H,10-20,15,0.011536872,0.248249409,0.251004016,,0.002231529,0.038641292
,4.5,20180404,2,H,30-40,35,0.047739017,0.17758072,0.215217391,,0.001048695,0.018246881
,4.5,20180404,2,H,50-60,55,0.017862112,0.025687951,0.16122449,,0.001127911,0.004386221
,4.5,20180404,2,H,80-90,85,NA,NA,0.130671506,,0.000565946,0.000693909
,4.5,20180404,3,C,0-10,5,0.020939239,0.234718838,0.340425532,,0.005089611,0.035162413
